annotation	A_lyrata_NCBI
jg22987	XP_020871537.1
jg23003	XP_002866387.1
jg23004	XP_002866388.1
jg23005	XP_002866389.1
jg23109	XP_020868821.1
jg23110	XP_002864744.1
jg23111	XP_002866447.1
jg23112	XP_002864745.2
jg23113	XP_002862353.1
jg23114	XP_002862354.1
jg23322	XP_020867589.1
jg23323	XP_002864851.1
jg23324	XP_002864852.2
jg23325	XP_020871135.1
jg23372	XP_020871140.1, XP_020880340.1
jg23373	XP_020881770.1
jg23374	XP_002866581.1
jg23404	XP_002866597.1
jg23405	XP_020871286.1
jg23406	XP_020871287.1
jg23445	XP_020871870.1
jg23546	XP_002864952.1
jg23547	XP_002866667.2
jg23596	XP_020871654.1
jg23597	XP_020871656.1
jg23605	XP_020885160.1
jg23606	XP_002864982.2
jg23607	XP_020885157.1
jg23674	XP_002865029.1
jg23675	XP_002866718.1
jg23676	XP_002866719.1
jg23699	XP_002865045.1
jg23700	XP_002866727.1
jg23701	XP_020868027.1
jg23710	XP_020866132.1
